nome;ano;sexo;n
Parecis (RO);2022;Total;495
Parecis (RO);2022;Homens;256
Parecis (RO);2022;Mulheres;239
Pimenteiras do Oeste (RO);2022;Total;227
Pimenteiras do Oeste (RO);2022;Homens;109
Pimenteiras do Oeste (RO);2022;Mulheres;118
Primavera de Rondônia (RO);2022;Total;278
Primavera de Rondônia (RO);2022;Homens;114
Primavera de Rondônia (RO);2022;Mulheres;164
São Felipe D'Oeste (RO);2022;Total;587
São Felipe D'Oeste (RO);2022;Homens;270
São Felipe D'Oeste (RO);2022;Mulheres;317
São Francisco do Guaporé (RO);2022;Total;2169
São Francisco do Guaporé (RO);2022;Homens;1080
São Francisco do Guaporé (RO);2022;Mulheres;1089
Seringueiras (RO);2022;Total;1134
Seringueiras (RO);2022;Homens;525
Seringueiras (RO);2022;Mulheres;608
Teixeirópolis (RO);2022;Total;437
Teixeirópolis (RO);2022;Homens;203
Teixeirópolis (RO);2022;Mulheres;234
Theobroma (RO);2022;Total;1149
Theobroma (RO);2022;Homens;544
Theobroma (RO);2022;Mulheres;605
Urupá (RO);2022;Total;939
Urupá (RO);2022;Homens;475
Urupá (RO);2022;Mulheres;464
Vale do Anari (RO);2022;Total;1100
Vale do Anari (RO);2022;Homens;544
Vale do Anari (RO);2022;Mulheres;556
Vale do Paraíso (RO);2022;Total;706
Vale do Paraíso (RO);2022;Homens;323
Vale do Paraíso (RO);2022;Mulheres;383
Acrelândia (AC);2022;Total;1457
Acrelândia (AC);2022;Homens;684
Acrelândia (AC);2022;Mulheres;774
Assis Brasil (AC);2022;Total;469
Assis Brasil (AC);2022;Homens;211
Assis Brasil (AC);2022;Mulheres;258
Brasiléia (AC);2022;Total;1738
Brasiléia (AC);2022;Homens;831
Brasiléia (AC);2022;Mulheres;906
Bujari (AC);2022;Total;1745
Bujari (AC);2022;Homens;891
Bujari (AC);2022;Mulheres;854
Capixaba (AC);2022;Total;702
Capixaba (AC);2022;Homens;395
Capixaba (AC);2022;Mulheres;307
Cruzeiro do Sul (AC);2022;Total;4409
Cruzeiro do Sul (AC);2022;Homens;1890
Cruzeiro do Sul (AC);2022;Mulheres;2519
Epitaciolândia (AC);2022;Total;1738
Epitaciolândia (AC);2022;Homens;823
Epitaciolândia (AC);2022;Mulheres;915
Feijó (AC);2022;Total;1289
Feijó (AC);2022;Homens;683
Feijó (AC);2022;Mulheres;606
Jordão (AC);2022;Total;404
Jordão (AC);2022;Homens;186
Jordão (AC);2022;Mulheres;218
Mâncio Lima (AC);2022;Total;1068
Mâncio Lima (AC);2022;Homens;472
Mâncio Lima (AC);2022;Mulheres;596
Manoel Urbano (AC);2022;Total;966
Manoel Urbano (AC);2022;Homens;494
Manoel Urbano (AC);2022;Mulheres;472
Marechal Thaumaturgo (AC);2022;Total;521
Marechal Thaumaturgo (AC);2022;Homens;244
Marechal Thaumaturgo (AC);2022;Mulheres;277
Plácido de Castro (AC);2022;Total;1513
Plácido de Castro (AC);2022;Homens;719
Plácido de Castro (AC);2022;Mulheres;794
Porto Walter (AC);2022;Total;470
Porto Walter (AC);2022;Homens;208
Porto Walter (AC);2022;Mulheres;262
Rio Branco (AC);2022;Total;12542
Rio Branco (AC);2022;Homens;5857
Rio Branco (AC);2022;Mulheres;6684
Rodrigues Alves (AC);2022;Total;1068
Rodrigues Alves (AC);2022;Homens;502
Rodrigues Alves (AC);2022;Mulheres;566
Santa Rosa do Purus (AC);2022;Total;192
Santa Rosa do Purus (AC);2022;Homens;90
Santa Rosa do Purus (AC);2022;Mulheres;102
Senador Guiomard (AC);2022;Total;2383
Senador Guiomard (AC);2022;Homens;1251
Senador Guiomard (AC);2022;Mulheres;1132
Sena Madureira (AC);2022;Total;1017
Sena Madureira (AC);2022;Homens;495
Sena Madureira (AC);2022;Mulheres;522
Tarauacá (AC);2022;Total;1200
Tarauacá (AC);2022;Homens;727
Tarauacá (AC);2022;Mulheres;473
Xapuri (AC);2022;Total;1012
Xapuri (AC);2022;Homens;517
Xapuri (AC);2022;Mulheres;495
Porto Acre (AC);2022;Total;1723
Porto Acre (AC);2022;Homens;868
Porto Acre (AC);2022;Mulheres;855
Alvarães (AM);2022;Total;724
Alvarães (AM);2022;Homens;352
Alvarães (AM);2022;Mulheres;372
Amaturá (AM);2022;Total;503
Amaturá (AM);2022;Homens;260
Amaturá (AM);2022;Mulheres;243
Anamã (AM);2022;Total;622
Anamã (AM);2022;Homens;319
Anamã (AM);2022;Mulheres;303
Anori (AM);2022;Total;805
Anori (AM);2022;Homens;413
Anori (AM);2022;Mulheres;393
Apuí (AM);2022;Total;2518
Apuí (AM);2022;Homens;1355
Apuí (AM);2022;Mulheres;1163
Atalaia do Norte (AM);2022;Total;875
Atalaia do Norte (AM);2022;Homens;395
Atalaia do Norte (AM);2022;Mulheres;480
Autazes (AM);2022;Total;2473
Autazes (AM);2022;Homens;1227
Autazes (AM);2022;Mulheres;1246
Barcelos (AM);2022;Total;708
Barcelos (AM);2022;Homens;384
Barcelos (AM);2022;Mulheres;323
Barreirinha (AM);2022;Total;1380
Barreirinha (AM);2022;Homens;686
Barreirinha (AM);2022;Mulheres;694
Benjamin Constant (AM);2022;Total;1139
Benjamin Constant (AM);2022;Homens;611
Benjamin Constant (AM);2022;Mulheres;528
Beruri (AM);2022;Total;396
Beruri (AM);2022;Homens;169
Beruri (AM);2022;Mulheres;227
Boa Vista do Ramos (AM);2022;Total;913
Boa Vista do Ramos (AM);2022;Homens;447
Boa Vista do Ramos (AM);2022;Mulheres;466
Boca do Acre (AM);2022;Total;1225
Boca do Acre (AM);2022;Homens;579
Boca do Acre (AM);2022;Mulheres;647
Borba (AM);2022;Total;1044
Borba (AM);2022;Homens;637
Borba (AM);2022;Mulheres;406
Caapiranga (AM);2022;Total;731
Caapiranga (AM);2022;Homens;385
Caapiranga (AM);2022;Mulheres;346
Canutama (AM);2022;Total;1082
Canutama (AM);2022;Homens;619
Canutama (AM);2022;Mulheres;463
Carauari (AM);2022;Total;580
Carauari (AM);2022;Homens;242
Carauari (AM);2022;Mulheres;338
Careiro (AM);2022;Total;3298
Careiro (AM);2022;Homens;1648
Careiro (AM);2022;Mulheres;1651
Careiro da Várzea (AM);2022;Total;916
Careiro da Várzea (AM);2022;Homens;401
Careiro da Várzea (AM);2022;Mulheres;515
Coari (AM);2022;Total;1947
Coari (AM);2022;Homens;1014
Coari (AM);2022;Mulheres;933
Codajás (AM);2022;Total;1137
Codajás (AM);2022;Homens;516
Codajás (AM);2022;Mulheres;620
Eirunepé (AM);2022;Total;1041
Eirunepé (AM);2022;Homens;499
Eirunepé (AM);2022;Mulheres;542
Envira (AM);2022;Total;682
Envira (AM);2022;Homens;368
Envira (AM);2022;Mulheres;313
Fonte Boa (AM);2022;Total;608
Fonte Boa (AM);2022;Homens;312
Fonte Boa (AM);2022;Mulheres;296
Guajará (AM);2022;Total;693
Guajará (AM);2022;Homens;349
Guajará (AM);2022;Mulheres;344
Humaitá (AM);2022;Total;3899
Humaitá (AM);2022;Homens;1884
Humaitá (AM);2022;Mulheres;2015
Ipixuna (AM);2022;Total;256
Ipixuna (AM);2022;Homens;106
Ipixuna (AM);2022;Mulheres;150
Iranduba (AM);2022;Total;8487
Iranduba (AM);2022;Homens;4346
Iranduba (AM);2022;Mulheres;4140
Itacoatiara (AM);2022;Total;4544
Itacoatiara (AM);2022;Homens;2213
Itacoatiara (AM);2022;Mulheres;2331
Itamarati (AM);2022;Total;508
Itamarati (AM);2022;Homens;283
Itamarati (AM);2022;Mulheres;225
Itapiranga (AM);2022;Total;1018
Itapiranga (AM);2022;Homens;489
Itapiranga (AM);2022;Mulheres;528
Japurá (AM);2022;Total;986
Japurá (AM);2022;Homens;521
Japurá (AM);2022;Mulheres;465
Juruá (AM);2022;Total;364
Juruá (AM);2022;Homens;210
Juruá (AM);2022;Mulheres;154
Jutaí (AM);2022;Total;814
Jutaí (AM);2022;Homens;431
Jutaí (AM);2022;Mulheres;383
Lábrea (AM);2022;Total;1457
Lábrea (AM);2022;Homens;731
Lábrea (AM);2022;Mulheres;725
Manacapuru (AM);2022;Total;4636
Manacapuru (AM);2022;Homens;2358
Manacapuru (AM);2022;Mulheres;2279
Manaquiri (AM);2022;Total;1288
Manaquiri (AM);2022;Homens;699
Manaquiri (AM);2022;Mulheres;589
Manaus (AM);2022;Total;89215
Manaus (AM);2022;Homens;44742
Manaus (AM);2022;Mulheres;44472
Manicoré (AM);2022;Total;2839
Manicoré (AM);2022;Homens;1393
Manicoré (AM);2022;Mulheres;1445
Maraã (AM);2022;Total;523
Maraã (AM);2022;Homens;290
Maraã (AM);2022;Mulheres;233
Maués (AM);2022;Total;1479
Maués (AM);2022;Homens;779
Maués (AM);2022;Mulheres;700
Nhamundá (AM);2022;Total;554
Nhamundá (AM);2022;Homens;251
Nhamundá (AM);2022;Mulheres;303
Nova Olinda do Norte (AM);2022;Total;1416
Nova Olinda do Norte (AM);2022;Homens;700
Nova Olinda do Norte (AM);2022;Mulheres;716
Novo Airão (AM);2022;Total;1407
Novo Airão (AM);2022;Homens;686
