nome;ano;sexo;n
Brasil;2010;Total;14420587
Brasil;2010;Homens;7184538
Brasil;2010;Mulheres;7236050
Alta Floresta D'Oeste (RO);2010;Total;1966
Alta Floresta D'Oeste (RO);2010;Homens;1091
Alta Floresta D'Oeste (RO);2010;Mulheres;876
Ariquemes (RO);2010;Total;9757
Ariquemes (RO);2010;Homens;5029
Ariquemes (RO);2010;Mulheres;4728
Cabixi (RO);2010;Total;640
Cabixi (RO);2010;Homens;322
Cabixi (RO);2010;Mulheres;317
Cacoal (RO);2010;Total;7806
Cacoal (RO);2010;Homens;3830
Cacoal (RO);2010;Mulheres;3976
Cerejeiras (RO);2010;Total;2296
Cerejeiras (RO);2010;Homens;1175
Cerejeiras (RO);2010;Mulheres;1121
Colorado do Oeste (RO);2010;Total;1598
Colorado do Oeste (RO);2010;Homens;840
Colorado do Oeste (RO);2010;Mulheres;758
Corumbiara (RO);2010;Total;1158
Corumbiara (RO);2010;Homens;562
Corumbiara (RO);2010;Mulheres;595
Costa Marques (RO);2010;Total;1493
Costa Marques (RO);2010;Homens;764
Costa Marques (RO);2010;Mulheres;729
Espigão D'Oeste (RO);2010;Total;3112
Espigão D'Oeste (RO);2010;Homens;1552
Espigão D'Oeste (RO);2010;Mulheres;1560
Guajará-Mirim (RO);2010;Total;2178
Guajará-Mirim (RO);2010;Homens;1064
Guajará-Mirim (RO);2010;Mulheres;1114
Jaru (RO);2010;Total;4529
Jaru (RO);2010;Homens;2298
Jaru (RO);2010;Mulheres;2231
Ji-Paraná (RO);2010;Total;11067
Ji-Paraná (RO);2010;Homens;5640
Ji-Paraná (RO);2010;Mulheres;5427
Machadinho D'Oeste (RO);2010;Total;3946
Machadinho D'Oeste (RO);2010;Homens;1966
Machadinho D'Oeste (RO);2010;Mulheres;1980
Nova Brasilândia D'Oeste (RO);2010;Total;2085
Nova Brasilândia D'Oeste (RO);2010;Homens;1076
Nova Brasilândia D'Oeste (RO);2010;Mulheres;1009
Ouro Preto do Oeste (RO);2010;Total;3649
Ouro Preto do Oeste (RO);2010;Homens;1715
Ouro Preto do Oeste (RO);2010;Mulheres;1934
Pimenta Bueno (RO);2010;Total;3929
Pimenta Bueno (RO);2010;Homens;2068
Pimenta Bueno (RO);2010;Mulheres;1861
Porto Velho (RO);2010;Total;48496
Porto Velho (RO);2010;Homens;26212
Porto Velho (RO);2010;Mulheres;22284
Presidente Médici (RO);2010;Total;1771
Presidente Médici (RO);2010;Homens;901
Presidente Médici (RO);2010;Mulheres;869
Rio Crespo (RO);2010;Total;600
Rio Crespo (RO);2010;Homens;307
Rio Crespo (RO);2010;Mulheres;294
Rolim de Moura (RO);2010;Total;7276
Rolim de Moura (RO);2010;Homens;3403
Rolim de Moura (RO);2010;Mulheres;3873
Santa Luzia D'Oeste (RO);2010;Total;854
Santa Luzia D'Oeste (RO);2010;Homens;447
Santa Luzia D'Oeste (RO);2010;Mulheres;408
Vilhena (RO);2010;Total;15715
Vilhena (RO);2010;Homens;7863
Vilhena (RO);2010;Mulheres;7852
São Miguel do Guaporé (RO);2010;Total;3407
São Miguel do Guaporé (RO);2010;Homens;1760
São Miguel do Guaporé (RO);2010;Mulheres;1648
Nova Mamoré (RO);2010;Total;4342
Nova Mamoré (RO);2010;Homens;2298
Nova Mamoré (RO);2010;Mulheres;2044
Alvorada D'Oeste (RO);2010;Total;1759
Alvorada D'Oeste (RO);2010;Homens;985
Alvorada D'Oeste (RO);2010;Mulheres;774
Alto Alegre dos Parecis (RO);2010;Total;1987
Alto Alegre dos Parecis (RO);2010;Homens;995
Alto Alegre dos Parecis (RO);2010;Mulheres;992
